page_time_jst,scrape_time_jst,sell_kwh,buy_kwh,cons_kwh,self_kwh,gen_kwh
2025-11-15T18:29+09:00,2025-11-15T18:29+09:00,13.9,3.0,10.3,7.3,21.2
2025-11-15T18:50+09:00,2025-11-15T18:51+09:00,13.9,3.2,10.5,7.3,21.2
2025-11-15T19:33+09:00,2025-11-15T19:33+09:00,13.9,3.6,10.9,7.3,21.2
2025-11-15T19:50+09:00,2025-11-15T19:51+09:00,13.9,4.1,11.4,7.3,21.2
2025-11-15T20:26+09:00,2025-11-15T20:26+09:00,13.9,4.5,11.8,7.3,21.2
2025-11-15T20:50+09:00,2025-11-15T20:51+09:00,13.9,4.8,12.1,7.3,21.2
2025-11-15T21:54+09:00,2025-11-15T21:54+09:00,13.9,5.6,12.9,7.3,21.2
2025-11-15T22:33+09:00,2025-11-15T22:33+09:00,13.9,5.9,13.2,7.3,21.2
2025-11-15T22:50+09:00,2025-11-15T22:50+09:00,13.9,6.1,13.4,7.3,21.2
2025-11-15T23:30+09:00,2025-11-15T23:31+09:00,13.9,6.2,13.5,7.3,21.2
2025-11-15T23:50+09:00,2025-11-15T23:51+09:00,13.9,6.5,13.8,7.3,21.2
2025-11-16T00:29+09:00,2025-11-16T00:29+09:00,13.9,6.5,13.8,7.3,21.2
2025-11-16T00:50+09:00,2025-11-16T00:50+09:00,0.0,0.6,0.6,0.0,0.0
2025-11-16T01:34+09:00,2025-11-16T01:34+09:00,0.0,0.8,0.8,0.0,0.0
2025-11-16T01:50+09:00,2025-11-16T01:50+09:00,0.0,1.0,1.0,0.0,0.0
2025-11-16T02:28+09:00,2025-11-16T02:28+09:00,0.0,1.2,1.2,0.0,0.0
2025-11-16T02:50+09:00,2025-11-16T02:50+09:00,0.0,1.3,1.3,0.0,0.0
2025-11-16T03:38+09:00,2025-11-16T03:38+09:00,0.0,1.5,1.5,0.0,0.0
2025-11-16T03:52+09:00,2025-11-16T03:52+09:00,0.0,1.7,1.7,0.0,0.0
2025-11-16T04:24+09:00,2025-11-16T04:24+09:00,0.0,1.9,1.9,0.0,0.0
2025-11-16T04:50+09:00,2025-11-16T04:50+09:00,0.0,2.0,2.0,0.0,0.0
2025-11-16T05:30+09:00,2025-11-16T05:30+09:00,0.0,2.1,2.1,0.0,0.0
2025-11-16T05:50+09:00,2025-11-16T05:51+09:00,0.0,2.4,2.4,0.0,0.0
2025-11-16T06:27+09:00,2025-11-16T06:27+09:00,0.0,2.7,2.7,0.0,0.0
2025-11-16T06:50+09:00,2025-11-16T06:50+09:00,0.0,2.8,2.8,0.0,0.0
2025-11-16T07:30+09:00,2025-11-16T07:30+09:00,,,,,
2025-11-16T07:51+09:00,2025-11-16T07:51+09:00,,,,,
2025-11-16T08:28+09:00,2025-11-16T08:28+09:00,0.9,2.9,3.0,0.1,1.0
2025-11-16T08:50+09:00,2025-11-16T08:50+09:00,1.4,2.9,3.5,0.6,2.0
2025-11-16T11:22+09:00,2025-11-16T11:22+09:00,6.6,2.9,5.7,2.8,9.4
2025-11-16T12:41+09:00,2025-11-16T12:41+09:00,11.1,2.9,7.0,4.1,15.2
2025-11-16T13:04+09:00,2025-11-16T13:04+09:00,11.1,2.9,7.0,4.1,15.2
